participant_id,technique,granularity,open_windows,trial_no,stimuli,user_response,trial_time,accuracy
P5,autocompaste,sentence,4,31,A component that changes the amplitude of a signal between input and output.,A component that changes the amplitude of a signal between input and output.,3471,1
P5,autocompaste,sentence,4,32,Spring clip on the end of a test lead used to make a temporary connection.,Spring clip on the end of a test lead used to make a temporary connection.,3017,1
P5,autocompaste,sentence,4,33,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,3768,1
P5,autocompaste,sentence,6,34,A device that converts a radiated electromagnetic wave into an electrical wave.,A device that converts a radiated electromagnetic wave into an electrical wave.,2839,1
P5,autocompaste,sentence,6,35,A number system having only two symbols 0 and 1.,A number system having only two symbols 0 and 1.,4592,1
P5,autocompaste,sentence,6,36,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,5544,1
P5,autocompaste,paragraph,2,37,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,11623,1
P5,autocompaste,paragraph,2,38,What is active component ? A component that changes the amplitude of a signal between input and output.,What is active component ?,6144,0
P5,autocompaste,paragraph,2,39,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,11736,1
P5,autocompaste,paragraph,4,40,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,12128,1
P5,autocompaste,paragraph,4,41,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,9248,1
P5,autocompaste,paragraph,4,42,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,11023,1
P5,autocompaste,paragraph,6,43,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,20888,1
P5,autocompaste,paragraph,6,44,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,21455,1
P5,autocompaste,paragraph,6,45,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine side techniques in computer graphics operating systems programming languages and development environments are relevant.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.On the machine side techniques in computer graphics operating systems programming languages and development environments are relevant.,5632,0
P5,autocompaste,phrase,2,46,transform mechanical energy,transform mechanical energy,7770,1
P5,autocompaste,phrase,2,47,all possible combinations,all possible combinations,6087,1
P5,autocompaste,phrase,2,48,size of a signal voltage,size of a signal voltage,4712,1
P5,autocompaste,phrase,4,49,amplifier in addition,amplifier in addition,16871,1
P5,autocompaste,phrase,4,50,meter used to measure,meter used to measure,5080,1
P5,autocompaste,phrase,4,51,positive electrode or terminal,positive electrode or terminal,6400,1
P5,autocompaste,phrase,6,52,transformer where the output,transformer where the output,14424,1
P5,autocompaste,phrase,6,53,terminal device in which emitter,terminal device in which emitter,6264,1
P5,autocompaste,phrase,6,54,natural difference of potential that exists,natural difference of potential that exists,5656,1
